budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
9100000,"Drama, History, Adventure, Action, Fantasy, Mystery",,589761,"diving, radiation, based on true story, firefighter, chernobyl",ru,Чернобыль,The aftermath of a shocking explosion at the Chernobyl nuclear power station made hundreds of people sacrifice their lives to clean up the site of the catastrophe and to successfully prevent an even bigger disaster that could have turned a large part of the European continent into an uninhabitable exclusion zone. This is their story.,26.801,"Non-Stop Productions, DK Entertainment, Central Partnership, KIT Film Studio, Kinoprime Foundation",RU,2021-04-15,6459306,136,"en, ru",Released,,Chernobyl: Abyss,6.3,515
40000000,Drama,http://www.sonypictures.com/movies/afewgoodmen/,881,"underdog, dying and death, suicide, navy, right and justice, court case, suspicion of murder, guantanamo bay, marine corps, military court, code red, command, military base, u.s. navy, sexism, based on play or musical, flashback, court martial, platoon leader, military law, legal thriller",en,A Few Good Men,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",30.787,David Brown Productions,US,1992-12-11,243240178,138,"en, fr",Released,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men,7.5,3691
5300000,"Drama, Science Fiction",,19,"future, metropolis, class society, man vs machine, underground world, tower of babel, based on novel or book, inventor, dystopia, delirium, mad scientist, prophet, steampunk, grim reaper, robot, destruction, silent film, expressionism, seven deadly sins, depravity, mob justice, downtrodden, saviour, social unrest, german expressionism, mediator",de,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",20.286,UFA,DE,1927-02-06,1350322,148,xx,Released,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,8.1,2808
1000000,"Thriller, Mystery",,567,"nurse, isolation, photographer, suspicion of murder, wheelchair, girlfriend, salesman, neighbor, whodunit, convalescence, voyeurism, voyeur, missing wife, homebound, psychotic obsessions, suspicious behavior, flower bed, visiting nurse, the boy who cried wolf, admiring",en,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,42.329,"Paramount Pictures, Patron Inc.",US,1954-08-01,37042336,112,en,Released,It only takes one witness to spoil the perfect crime.,Rear Window,8.3,6585
0,"Animation, Drama, Fantasy",https://rascaldoesnotdream.com/sister,1056803,"based on novel or book, anime, based on light novel",ja,青春ブタ野郎はおでかけシスターの夢を見ない,"After a draining December, Sakuta is quickly nearing the end of his second year of high school. Since Mai is a third-year student, they don't have much time left together before graduation rolls around. Meanwhile, his sister, Kaede, is slowly but steadily venturing outdoors again. Just as she begins to find her footing, she announces her most ambitious goal yet—attending her brother's high school! Sakuta knows better than anyone how difficult this will be for Kaede, and he's ready to support her however he can. He's just not sure if that's what's best for her...or what she really wants...",23.747,"KADOKAWA, CloverWorks, Aniplex",JP,2023-06-23,0,74,ja,Released,,Rascal Does Not Dream of a Sister Venturing Out,7.6,31
0,Thriller,http://ariescope.com/2010/10/14/frozen,44363,"cold, wolf, mountain, animal attack, girlfriend, stranded, snow, best friend, boyfriend, ski resort, ski lift, eaten alive, hypothermia, frostbite, cable car, eaten by animal, skier, stuck, wolves, life or death, natural horror",en,Frozen,"When three skiers find themselves stranded on a chair lift at a New England ski resort that has closed for the next week, they are forced to make life or death choices that prove to be more perilous than staying put and freezing to death.",23.036,"ArieScope Pictures, A Bigger Boat",US,2010-02-05,3065860,93,en,Released,No one knows you're up there.,Frozen,5.992,1850
35000000,"Horror, Mystery, Thriller",http://www.nightmareonelmstreet.com/,23437,"pedophilia, dreams, supernatural, remake, revenge, slasher, reboot, franchise",en,A Nightmare on Elm Street,"The film that brings back horror icon Freddy Krueger as a darker and more sinister character than ever before. While Freddy is on the prowl, a group of teenagers being stalked soon learn they all have a common factor making them targets for this twisted killer.",30.223,"Platinum Dunes, New Line Cinema, Warner Bros. Pictures",US,2010-04-30,115664037,95,en,Released,Welcome to your new nightmare.,A Nightmare on Elm Street,5.5,2723
0,"Action, Thriller",,1124127,"usa president, air force one, rookie, u.s. secret service agent",en,Air Force One Down,"On her first assignment aboard Air Force One, a rookie Secret Service agent faces the ultimate test when terrorists hijack the plane, intent on derailing a pivotal energy deal. With the President's life on the line and a global crisis at stake, her bravery and skills are pushed to the limit in a relentless battle that could change the course of history.",25.335,"SP Media Group, Steven Paul Production",US,2024-02-09,0,84,"en, fr",Released,,Air Force One Down,6.1,135
1300000,"Drama, Romance",,192558,"artist, musical, tragic love, bollywood",hi,आशिकी २,"A young woman meets a failing musician who launches her singing career, but their relationship is doomed when people assume he's with her for her fame and fortune.",31.283,"T-Series, Vishesh Films",IN,2013-04-26,16000000,132,hi,Released,Love makes life live...,Aashiqui 2,6.7,159
32000000,Drama,,11978,"diving, u.s. navy",en,Men of Honor,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor.",22.78,Fox 2000 Pictures,US,2000-09-13,82300000,129,en,Released,History is made by those who break the rules.,Men of Honor,7.5,2318
